platform,appId,title,summary,developer,developerEmail,developerWebsite,privacyPolicy,genre,genreId,contentRating,contentRatingDescription,free,price,priceText,currency,offersIAP,IAPRange,installs,minInstalls,score,ratings,reviews,released,version,androidVersion,adSupported,url,app_type,app_type_rationale,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
android,com.rheality.dot,dotdotdot Fantasy AI Boyfriend,Create your story with AI chat,Dotdotdot Inc.,admin@amore-lab.com,https://dotdotdot.chat,https://dotdotdot-ai.notion.site/Dotdotdot-Privacy-Policy-1c3f48194caa8013b5a4f3be4e2ee4de?pvs=4,Entertainment,ENTERTAINMENT,Mature 17+,Diverse Content: Discretion Advised,True,0,Free,USD,True,$0.99 - $99.99 per item,"100,000+",100000,3.79,844,128,"Apr 3, 2025",1.0.29,7.0,False,https://play.google.com/store/apps/details?id=com.rheality.dot&hl=en&gl=us,companion,"companion signals dominant: comp=7,gen=0,task=0",False,https://dotdotdot.chat,UNKNOWN - requires manual verification,Discord,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$0.99 - $99.99 per item (in-app purchase range; monthly tier not specified in Play metadata),"ar, cs, da, de, el, en, es, fr, hu, it, ja, lv, nb, nl, pl, pt, pt-BR, ro, ru, sv, uk"
android,com.fjsh.alwayssupportiveboyfriend,AI Boyfriend:Love Chat Partner,Your Virtual Boyfriend 24/7,fjsh,zero@zerotoone.app,https://www.fjsh.dev/all,https://www.fjsh.dev/all,Entertainment,ENTERTAINMENT,Everyone,,True,0,Free,USD,False,,"100,000+",100000,3.6,875,35,"Aug 10, 2024",3.0.24,7.0,True,https://play.google.com/store/apps/details?id=com.fjsh.alwayssupportiveboyfriend&hl=en&gl=us,companion,"companion signals dominant: comp=2,gen=0,task=1",UNKNOWN - requires manual verification,https://www.fjsh.dev/all,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Everyone); in-app not verified,False,True,priority access,No in-app purchases (likely free),UNKNOWN - requires manual verification
android,ai.boyfriend.virtual.dating.lover.iboy,Anima: My Virtual AI Boyfriend,"Romantic Boyfriend Simulator. Create your Character AI: Friend, Partner, Daddy",LABANE CORP. Limited,help+aibf@myanima.ai,https://boyfriend.myanima.ai/,https://boyfriend.myanima.ai/legal/privacy,Entertainment,ENTERTAINMENT,Mature 17+,"Sexual Themes, Strong Language",True,0,Free,USD,True,$0.99 - $199.99 per item,"1,000,000+",1000000,3.9825175,13244,988,"Apr 30, 2021",2.59.12,8.0,False,https://play.google.com/store/apps/details?id=ai.boyfriend.virtual.dating.lover.iboy&hl=en&gl=us,companion,"companion signals dominant: comp=6,gen=0,task=0",Likely — manual verification needed,https://boyfriend.myanima.ai/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$0.99 - $199.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,aiboy.companion.app,AIBoy - Virtual AI Boyfriend,"Your AI friend  for chat, calls, romance &amp; support. A BF character always there",Life Plus Fitness,support@aiboy.app,https://aiboy.app,http://aiboy.app/privacy,Entertainment,ENTERTAINMENT,Mature 17+,Strong Language,True,0,Free,USD,True,$1.99 - $29.99 per item,"10,000+",10000,4.605769,813,19,"Jan 6, 2026",6.0,9,True,https://play.google.com/store/apps/details?id=aiboy.companion.app&hl=en&gl=us,companion,"companion signals dominant: comp=6,gen=0,task=0",UNKNOWN - requires manual verification,https://aiboy.app,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$1.99 - $29.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.weaver.app.prod,Talkie: Creative AI Community,Unleash Your AI Imagination,SUBSUP,feedback@subsup.com,https://talkie-ai.com/,https://talkie-ai.com/static/privacy,Entertainment,ENTERTAINMENT,Teen,Sexual Themes,True,0,Free,USD,True,$0.49 - $199.99 per item,"50,000,000+",50000000,4.5411787,743495,67028,"Jun 16, 2023",2.49.102,8.0,True,https://play.google.com/store/apps/details?id=com.weaver.app.prod&hl=en&gl=us,companion,"brand-term fix (talkie): weak companion signal only: comp=1,gen=0,task=1",Likely — manual verification needed,https://talkie-ai.com/,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Teen); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,extended memory,$0.49 - $199.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,ai.boyfriend.imate.virtual.companion,Imate - AI boyfriend who cares,"chat, share, roleplay and feel loved by your caring virtual ai companion",TDevelopersIndia,tdeveloperindia@gmail.com,,https://p9.notion.site/Privacy-Policy-29f0dcbf7bc480a8b65fc228cc579217?pvs=143,Entertainment,ENTERTAINMENT,Everyone,,True,0,Free,USD,True,$1.49 - $18.99 per item,"10,000+",10000,4.1923075,93,12,"Nov 6, 2025",1.2.6,7.0,False,https://play.google.com/store/apps/details?id=ai.boyfriend.imate.virtual.companion&hl=en&gl=us,companion,"companion signals dominant: comp=6,gen=0,task=0",UNKNOWN - requires manual verification,,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Everyone); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$1.49 - $18.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,ai.boyfriend,AI Boyfriend,"Virtual Boyfriend Simulator to helps you feel less lonely, romantic ai companion",6Hive OU,team@reload.app,https://revoo.studio,https://revoo.studio/privacy-policy.html,Entertainment,ENTERTAINMENT,Teen,Suggestive Themes,True,0,Free,USD,True,$2.99 - $19.99 per item,"100,000+",100000,3.7686567,5218,186,"Feb 22, 2023",1.9.10,7.0,True,https://play.google.com/store/apps/details?id=ai.boyfriend&hl=en&gl=us,companion,"companion signals dominant: comp=6,gen=0,task=0",UNKNOWN - requires manual verification,https://revoo.studio,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,False,No age gate implied by rating (Teen); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$2.99 - $19.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.intimaiforwoman,AI Boyfriend 18+,Chat with virtual AI companions 18+ and explore desires in a safe space.,Controle o Bruxismo e a Ansiedade,intimaiglobal@gmail.com,,https://privacypolicyintimai.blogspot.com/2024/10/privacy-policy-intimai.html,Entertainment,ENTERTAINMENT,Mature 17+,Sexual Themes,True,0,Free,USD,True,$5.49 - $74.99 per item,"10,000+",10000,,,,,VARY,VARY,True,https://play.google.com/store/apps/details?id=com.intimaiforwoman&hl=en&gl=us,companion,"companion signals dominant: comp=3,gen=0,task=0",UNKNOWN - requires manual verification,,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,priority access,$5.49 - $74.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,com.thirtythreeapps.jackchatbot,Jack - AI Boyfriend,Jack - Chatting AI Boyfriend: Your Virtual Companion for Love and Friendship,Thirty Three Apps,contact@thirtythreeapps.com,https://thirtythreeapps.com/,https://thirtythreeapps.com/privacypolicy,Communication,COMMUNICATION,Everyone,,True,0,Free,USD,True,$3.99 - $29.99 per item,"10,000+",10000,4.148148,348,19,"Jan 30, 2025",24.03.2026.g,7.0,True,https://play.google.com/store/apps/details?id=com.thirtythreeapps.jackchatbot&hl=en&gl=us,companion,"companion signals dominant: comp=3,gen=1,task=0",Likely — manual verification needed,https://thirtythreeapps.com/,False,UNKNOWN - requires manual verification,False,No age gate implied by rating (Everyone); in-app not verified,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$3.99 - $29.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
android,ai.socialapps.speakmaster,PolyBuzz: Chat with AI Friends,"Talk &amp; engage with anime characters and start a rizz story anytime, anywhere",CLOUD WHALE INTERACTIVE TECHNOLOGY LLC.,support@mail.polybuzz.ai,https://app.polybuzz.ai,https://app.polybuzz.ai/static/hy/speakmaster/privacyPolicy/index.html?darkmode=1&darkStyle=1,Entertainment,ENTERTAINMENT,Mature 17+,Cash Rewards,True,0,Free,USD,True,$0.05 - $299.99 per item,"10,000,000+",10000000,3.893384,975292,50634,"Jun 2, 2023",2.2.2,7.0,True,https://play.google.com/store/apps/details?id=ai.socialapps.speakmaster&hl=en&gl=us,companion,"weak companion signal only: comp=1,gen=0,task=0",Likely — manual verification needed,https://app.polybuzz.ai,UNKNOWN - requires manual verification,Facebook,True,Self-declaration via Google Play content rating (Mature 17+); in-app method not verified,False,UNKNOWN - requires manual verification,UNKNOWN - requires manual verification,$0.05 - $299.99 per item (in-app purchase range; monthly tier not specified in Play metadata),UNKNOWN - requires manual verification
